epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.1703,0.94837,3.05532,1.28894,0.96878,0.21428,0.41959,0.3061,0.83729,3.12331,1.27362,0.000366027,0.000366027,0.000366027
2,63.8103,0.91649,1.9755,1.25958,0.78882,0.32347,0.36635,0.24597,0.94918,2.23209,1.42222,0.000721781,0.000721781,0.000721781
3,85.9243,0.9447,1.69885,1.27221,0.79956,0.40311,0.45434,0.32242,0.97603,1.80251,1.46682,0.00106287,0.00106287,0.00106287
4,102.422,0.96368,1.50224,1.28094,0.67227,0.50263,0.49731,0.35519,0.94716,1.48081,1.36036,0.00104501,0.00104501,0.00104501
5,118.676,0.92716,1.33073,1.27841,0.76957,0.48825,0.51866,0.37744,0.90356,1.31709,1.32558,0.00102301,0.00102301,0.00102301
6,135.533,0.9191,1.21666,1.26313,0.77966,0.4332,0.48206,0.34672,0.96666,1.49953,1.40204,0.00100101,0.00100101,0.00100101
7,164.549,0.88345,1.11508,1.2448,0.73399,0.54452,0.55828,0.42392,0.85815,1.18148,1.30392,0.000979013,0.000979013,0.000979013
8,180.119,0.86392,1.06672,1.21746,0.7199,0.44874,0.50645,0.37703,0.90346,1.46014,1.31594,0.000957015,0.000957015,0.000957015
9,195.63,0.83178,0.98697,1.19757,0.84247,0.54313,0.59055,0.44985,0.81115,1.04584,1.26076,0.000935018,0.000935018,0.000935018
10,212.293,0.88961,1.00459,1.235,0.79898,0.57144,0.605,0.45395,0.83511,1.00551,1.26399,0.00091302,0.00091302,0.00091302
11,229.195,0.83608,0.93556,1.1936,0.80579,0.57848,0.60862,0.45541,0.82618,0.90231,1.27732,0.000891022,0.000891022,0.000891022
12,245.518,0.79942,0.84818,1.17033,0.81518,0.62454,0.62733,0.48523,0.77387,0.86797,1.23729,0.000869024,0.000869024,0.000869024
13,262.096,0.78645,0.82497,1.18621,0.81336,0.60298,0.61731,0.47293,0.8243,0.98022,1.26343,0.000847026,0.000847026,0.000847026
14,278.652,0.77746,0.83716,1.16113,0.84059,0.59946,0.63137,0.4808,0.79646,0.85026,1.28672,0.000825029,0.000825029,0.000825029
15,294.819,0.77866,0.80772,1.16699,0.78898,0.59276,0.60971,0.47092,0.79742,0.91408,1.28332,0.000803031,0.000803031,0.000803031
16,311.468,0.7624,0.80257,1.16073,0.83835,0.60057,0.62012,0.48103,0.77078,0.84423,1.23549,0.000781033,0.000781033,0.000781033
17,328.889,0.78388,0.80268,1.17031,0.81949,0.61272,0.62765,0.49031,0.73513,0.81855,1.1885,0.000759035,0.000759035,0.000759035
18,345.005,0.75317,0.76967,1.15823,0.81489,0.62045,0.63418,0.47817,0.81453,0.82804,1.26058,0.000737037,0.000737037,0.000737037
19,361.709,0.73285,0.73587,1.14399,0.84662,0.5491,0.61708,0.48674,0.7361,0.82284,1.20329,0.00071504,0.00071504,0.00071504
20,378.357,0.74339,0.72729,1.15734,0.84051,0.61717,0.64263,0.50384,0.75154,0.79617,1.2454,0.000693042,0.000693042,0.000693042
21,395.207,0.72003,0.70525,1.13948,0.85313,0.59819,0.64313,0.50546,0.7333,0.78143,1.20425,0.000671044,0.000671044,0.000671044
22,411.747,0.73196,0.72385,1.14469,0.87098,0.58674,0.62536,0.48684,0.77205,0.88295,1.23848,0.000649046,0.000649046,0.000649046
23,428.525,0.69579,0.69511,1.1223,0.85137,0.58527,0.63235,0.49883,0.72674,0.8164,1.20221,0.000627048,0.000627048,0.000627048
24,445.061,0.70925,0.66239,1.13894,0.85704,0.62711,0.649,0.51749,0.70786,0.74114,1.18584,0.000605051,0.000605051,0.000605051
25,461.612,0.71436,0.68801,1.12471,0.85784,0.63364,0.65151,0.50863,0.71851,0.77971,1.18484,0.000583053,0.000583053,0.000583053
26,478.252,0.66851,0.62917,1.10536,0.86384,0.6189,0.6448,0.5062,0.71935,0.75396,1.19363,0.000561055,0.000561055,0.000561055
27,494.689,0.67748,0.65174,1.09702,0.84309,0.63191,0.65299,0.5143,0.71993,0.78237,1.18631,0.000539057,0.000539057,0.000539057
28,511.177,0.68649,0.64128,1.11819,0.85138,0.59562,0.62675,0.49261,0.70398,0.8196,1.20138,0.000517059,0.000517059,0.000517059
29,528.49,0.66177,0.60599,1.10481,0.85878,0.66398,0.66916,0.52949,0.72235,0.73061,1.19794,0.000495062,0.000495062,0.000495062
30,544.989,0.65484,0.61277,1.09603,0.88859,0.64208,0.66876,0.53453,0.71287,0.70026,1.19292,0.000473064,0.000473064,0.000473064
31,561.623,0.64206,0.59761,1.10096,0.83164,0.61999,0.63414,0.50357,0.70379,0.78973,1.20118,0.000451066,0.000451066,0.000451066
32,578.434,0.6394,0.60855,1.08704,0.86044,0.6372,0.65655,0.52709,0.68962,0.69211,1.16214,0.000429068,0.000429068,0.000429068
33,594.79,0.61595,0.56405,1.08521,0.83341,0.63131,0.65014,0.52164,0.69227,0.71822,1.18113,0.00040707,0.00040707,0.00040707
34,612.986,0.63294,0.57213,1.09402,0.87057,0.62883,0.65694,0.52111,0.69645,0.72902,1.18765,0.000385073,0.000385073,0.000385073
35,639.015,0.60537,0.55393,1.06726,0.8766,0.62928,0.66434,0.5338,0.68678,0.68717,1.1876,0.000363075,0.000363075,0.000363075
36,670.585,0.628,0.57701,1.08604,0.87381,0.64435,0.65793,0.52854,0.67577,0.68021,1.16125,0.000341077,0.000341077,0.000341077
37,703.219,0.59727,0.54438,1.05852,0.88134,0.63064,0.66951,0.54257,0.67276,0.64056,1.17002,0.000319079,0.000319079,0.000319079
38,736.132,0.59263,0.52054,1.06728,0.66057,0.64496,0.66575,0.53782,0.64952,0.65173,1.15923,0.000297081,0.000297081,0.000297081
39,769.284,0.58273,0.52953,1.06691,0.8244,0.63339,0.65352,0.52638,0.68502,0.71198,1.1843,0.000275084,0.000275084,0.000275084
40,802.078,0.58112,0.52707,1.066,0.87302,0.60931,0.65717,0.53457,0.69163,0.69092,1.18235,0.000253086,0.000253086,0.000253086
41,859.143,0.52099,0.46787,1.02065,0.86122,0.61616,0.64478,0.51863,0.70451,0.68865,1.17673,0.000231088,0.000231088,0.000231088
42,892.347,0.49995,0.44262,1.00602,0.87107,0.64187,0.65875,0.53251,0.67828,0.67911,1.16042,0.00020909,0.00020909,0.00020909
43,924.547,0.48175,0.42975,0.98721,0.87165,0.64419,0.67331,0.54349,0.68276,0.66363,1.18308,0.000187092,0.000187092,0.000187092
44,957.243,0.47295,0.41034,0.99149,0.86709,0.64632,0.66175,0.53136,0.69852,0.66659,1.19342,0.000165095,0.000165095,0.000165095
45,989.491,0.47149,0.41456,0.98694,0.87845,0.62037,0.66322,0.54505,0.67741,0.64716,1.16561,0.000143097,0.000143097,0.000143097
46,1020.82,0.46182,0.38122,0.97393,0.88179,0.63214,0.66301,0.54806,0.65533,0.64958,1.15606,0.000121099,0.000121099,0.000121099
47,1054.19,0.4505,0.38817,0.96849,0.89158,0.62411,0.66353,0.5442,0.64533,0.6564,1.14832,9.91012e-05,9.91012e-05,9.91012e-05
48,1086.55,0.44108,0.37781,0.97803,0.88072,0.61849,0.65546,0.54529,0.65955,0.65478,1.15294,7.71034e-05,7.71034e-05,7.71034e-05
49,1120.64,0.42823,0.36366,0.96392,0.91479,0.61653,0.66886,0.55243,0.66502,0.64099,1.15682,5.51056e-05,5.51056e-05,5.51056e-05
50,1153.29,0.43298,0.36465,0.95712,0.89118,0.61823,0.66374,0.55034,0.65319,0.64363,1.14953,3.31078e-05,3.31078e-05,3.31078e-05
